Card 1,Card 2,Card 3,Card 4,Card 5,Hand
4 Diamonds,9 Clubs,3 Clubs,Queen Clubs,6 Diamonds,Nothing in hand
2 Clubs,7 Diamonds,King Diamonds,6 Heart,Queen Heart,Nothing in hand
King Clubs,Ace Clubs,6 Spades,King Spades,2 Diamonds,One pair
5 Spades,Queen Heart,6 Clubs,8 Heart,10 Spades,Nothing in hand
9 Spades,Queen Spades,Ace Spades,King Heart,Ace Heart,One pair
Ace Spades,4 Diamonds,Ace Heart,9 Diamonds,10 Spades,One pair
4 Diamonds,3 Spades,Ace Heart,3 Clubs,9 Diamonds,One pair
3 Spades,9 Diamonds,10 Clubs,Ace Diamonds,7 Spades,Nothing in hand
10 Heart,3 Diamonds,10 Clubs,9 Clubs,King Clubs,One pair
6 Heart,Queen Clubs,7 Heart,Ace Heart,Queen Heart,One pair
King Clubs,Jack Spades,6 Heart,8 Heart,Queen Heart,Nothing in hand
2 Heart,2 Clubs,10 Heart,8 Diamonds,6 Clubs,One pair
6 Clubs,7 Spades,5 Diamonds,King Spades,8 Clubs,Nothing in hand
Jack Diamonds,Queen Heart,9 Diamonds,3 Clubs,8 Heart,Nothing in hand
Jack Spades,King Heart,7 Spades,8 Heart,10 Clubs,Nothing in hand
King Clubs,Queen Diamonds,10 Clubs,9 Clubs,8 Spades,Nothing in hand
Ace Diamonds,5 Spades,8 Spades,King Diamonds,3 Diamonds,Nothing in hand
2 Diamonds,Ace Spades,10 Spades,5 Diamonds,2 Spades,One pair
2 Spades,Ace Clubs,3 Clubs,9 Spades,Jack Diamonds,Nothing in hand
King Heart,8 Diamonds,4 Diamonds,7 Heart,5 Diamonds,Nothing in hand
Ace Clubs,King Heart,9 Heart,10 Spades,8 Diamonds,Nothing in hand
10 Spades,8 Heart,Queen Diamonds,2 Diamonds,Queen Spades,One pair
10 Spades,3 Clubs,Jack Spades,8 Spades,3 Spades,One pair
Ace Diamonds,King Clubs,10 Clubs,3 Clubs,6 Diamonds,Nothing in hand
7 Heart,8 Diamonds,Ace Diamonds,5 Clubs,6 Spades,Nothing in hand
Jack Clubs,Ace Heart,5 Diamonds,2 Spades,10 Diamonds,Nothing in hand
Queen Diamonds,10 Heart,Queen Spades,King Clubs,9 Diamonds,One pair
9 Heart,Ace Diamonds,10 Heart,3 Diamonds,4 Diamonds,Nothing in hand
4 Spades,2 Heart,5 Diamonds,7 Clubs,6 Heart,Nothing in hand
10 Clubs,2 Diamonds,2 Clubs,4 Clubs,4 Diamonds,Two pairs
2 Diamonds,Jack Clubs,Queen Diamonds,Jack Diamonds,8 Heart,One pair
6 Clubs,4 Diamonds,2 Spades,3 Clubs,Ace Clubs,Nothing in hand
3 Spades,King Diamonds,8 Heart,King Heart,Ace Clubs,One pair
Ace Heart,Ace Spades,7 Clubs,Jack Clubs,2 Diamonds,One pair
2 Clubs,2 Diamonds,7 Heart,7 Clubs,5 Clubs,Two pairs
King Spades,Jack Heart,Ace Clubs,6 Diamonds,10 Heart,Nothing in hand
Jack Spades,5 Diamonds,2 Spades,8 Clubs,6 Heart,Nothing in hand
9 Spades,4 Clubs,Jack Heart,Jack Spades,7 Diamonds,One pair
Jack Diamonds,King Heart,Ace Clubs,5 Clubs,6 Spades,Nothing in hand
King Heart,King Spades,9 Clubs,10 Spades,7 Heart,One pair
4 Diamonds,4 Heart,9 Spades,Queen Spades,King Clubs,One pair
9 Heart,2 Heart,7 Diamonds,6 Heart,King Heart,Nothing in hand
5 Clubs,King Clubs,Queen Heart,9 Clubs,3 Spades,Nothing in hand
4 Heart,9 Diamonds,Ace Heart,9 Clubs,King Clubs,One pair
Ace Heart,6 Heart,7 Diamonds,2 Diamonds,Ace Spades,One pair
King Spades,4 Heart,Ace Spades,8 Diamonds,7 Heart,Nothing in hand
5 Heart,8 Diamonds,10 Spades,4 Clubs,Jack Diamonds,Nothing in hand
Jack Diamonds,Jack Clubs,King Clubs,8 Heart,8 Spades,Two pairs
7 Diamonds,Queen Clubs,3 Spades,6 Heart,9 Diamonds,Nothing in hand
3 Diamonds,4 Heart,4 Spades,Jack Heart,10 Heart,One pair
7 Diamonds,8 Clubs,4 Spades,10 Diamonds,Queen Diamonds,Nothing in hand
4 Spades,5 Clubs,7 Diamonds,King Diamonds,4 Heart,One pair
6 Heart,3 Heart,6 Spades,4 Spades,10 Heart,One pair
7 Heart,Queen Diamonds,4 Spades,6 Heart,5 Spades,Nothing in hand
2 Diamonds,7 Heart,9 Heart,Ace Spades,Jack Clubs,Nothing in hand
10 Heart,8 Heart,3 Spades,7 Spades,6 Diamonds,Nothing in hand
5 Heart,2 Heart,7 Clubs,5 Spades,3 Diamonds,One pair
7 Spades,Queen Spades,3 Diamonds,Jack Heart,5 Diamonds,Nothing in hand
10 Diamonds,6 Heart,Jack Clubs,10 Clubs,3 Diamonds,One pair
6 Heart,8 Clubs,4 Clubs,5 Spades,Ace Heart,Nothing in hand
5 Diamonds,Ace Heart,2 Clubs,Ace Spades,7 Diamonds,One pair
Queen Spades,9 Spades,8 Spades,Ace Spades,6 Clubs,Nothing in hand
9 Heart,Jack Clubs,2 Spades,4 Heart,Jack Spades,One pair
3 Spades,Ace Clubs,King Clubs,5 Diamonds,8 Heart,Nothing in hand
2 Diamonds,2 Heart,Jack Clubs,10 Spades,9 Heart,One pair
Ace Heart,Ace Diamonds,3 Spades,5 Spades,7 Heart,One pair
8 Heart,9 Heart,3 Diamonds,8 Clubs,King Diamonds,One pair
6 Spades,10 Spades,8 Diamonds,7 Heart,Queen Diamonds,Nothing in hand
Ace Diamonds,8 Clubs,6 Clubs,10 Diamonds,10 Heart,One pair
Jack Heart,3 Clubs,2 Diamonds,8 Heart,Ace Spades,Nothing in hand
9 Heart,8 Spades,2 Diamonds,10 Heart,9 Spades,One pair
3 Clubs,Ace Clubs,5 Spades,4 Heart,10 Heart,Nothing in hand
9 Diamonds,6 Diamonds,3 Diamonds,Ace Clubs,6 Heart,One pair
7 Diamonds,8 Diamonds,Queen Heart,2 Diamonds,4 Heart,Nothing in hand
6 Spades,9 Diamonds,Queen Spades,Jack Clubs,3 Heart,Nothing in hand
2 Spades,4 Clubs,King Diamonds,King Heart,7 Spades,One pair
10 Clubs,3 Clubs,9 Spades,3 Diamonds,4 Spades,One pair
Ace Diamonds,5 Diamonds,4 Diamonds,8 Clubs,Queen Clubs,Nothing in hand
3 Diamonds,2 Spades,9 Diamonds,5 Spades,4 Clubs,Nothing in hand
King Spades,5 Diamonds,6 Clubs,7 Clubs,Ace Clubs,Nothing in hand
King Spades,2 Diamonds,5 Heart,10 Spades,King Diamonds,One pair
Ace Diamonds,8 Diamonds,King Heart,10 Diamonds,10 Spades,One pair
10 Clubs,3 Clubs,4 Spades,Queen Heart,Ace Heart,Nothing in hand
9 Heart,6 Clubs,2 Heart,Queen Clubs,2 Clubs,One pair
7 Diamonds,King Diamonds,10 Spades,Queen Heart,4 Diamonds,Nothing in hand
Jack Diamonds,4 Clubs,Queen Diamonds,9 Heart,2 Heart,Nothing in hand
10 Heart,3 Heart,5 Spades,7 Heart,8 Heart,Nothing in hand
Queen Clubs,8 Clubs,7 Clubs,Queen Diamonds,4 Spades,One pair
2 Clubs,8 Spades,9 Diamonds,Ace Diamonds,5 Diamonds,Nothing in hand
King Clubs,Queen Diamonds,6 Clubs,2 Spades,3 Heart,Nothing in hand
Queen Diamonds,10 Heart,7 Heart,Ace Diamonds,6 Diamonds,Nothing in hand
7 Clubs,Jack Heart,3 Diamonds,6 Spades,10 Spades,Nothing in hand
8 Heart,7 Diamonds,5 Diamonds,4 Spades,2 Diamonds,Nothing in hand
Jack Spades,Ace Heart,Ace Clubs,Jack Diamonds,8 Spades,Two pairs
8 Clubs,Jack Spades,Queen Diamonds,8 Heart,5 Heart,One pair
4 Clubs,3 Heart,10 Spades,3 Clubs,Queen Spades,One pair
2 Diamonds,6 Spades,3 Clubs,6 Heart,5 Diamonds,One pair
Queen Clubs,4 Heart,Jack Heart,8 Clubs,8 Heart,One pair
Queen Clubs,King Heart,4 Clubs,9 Clubs,5 Spades,Nothing in hand
9 Clubs,2 Spades,Queen Spades,7 Heart,King Clubs,Nothing in hand
2 Clubs,10 Heart,King Diamonds,8 Diamonds,5 Diamonds,Nothing in hand
8 Diamonds,9 Diamonds,10 Diamonds,King Clubs,4 Clubs,Nothing in hand
6 Diamonds,9 Clubs,7 Clubs,6 Heart,Jack Clubs,One pair
3 Diamonds,8 Heart,2 Clubs,2 Spades,Ace Spades,One pair
4 Diamonds,4 Heart,Jack Clubs,Queen Spades,3 Diamonds,One pair
9 Heart,3 Heart,Jack Spades,Jack Heart,4 Diamonds,One pair
7 Diamonds,King Spades,7 Clubs,3 Spades,6 Spades,One pair
7 Heart,4 Heart,Ace Spades,4 Diamonds,King Diamonds,One pair
2 Clubs,6 Spades,7 Clubs,5 Spades,Ace Spades,Nothing in hand
8 Clubs,10 Diamonds,10 Heart,6 Heart,10 Spades,Three of a kind
4 Clubs,8 Spades,3 Diamonds,9 Spades,10 Spades,Nothing in hand
6 Heart,Queen Diamonds,Queen Spades,4 Diamonds,3 Diamonds,One pair
6 Spades,Queen Spades,8 Spades,3 Clubs,Queen Diamonds,One pair
3 Clubs,2 Heart,Ace Spades,2 Spades,9 Diamonds,One pair
King Diamonds,King Heart,5 Clubs,7 Heart,4 Diamonds,One pair
2 Heart,8 Heart,10 Diamonds,7 Spades,8 Spades,One pair
King Diamonds,7 Spades,10 Diamonds,3 Heart,4 Clubs,Nothing in hand
9 Diamonds,King Heart,Queen Diamonds,10 Diamonds,8 Clubs,Nothing in hand
Queen Clubs,6 Heart,2 Diamonds,7 Spades,9 Heart,Nothing in hand
2 Heart,8 Heart,2 Diamonds,5 Spades,3 Diamonds,One pair
6 Clubs,5 Heart,2 Heart,Queen Heart,3 Diamonds,Nothing in hand
8 Heart,Ace Heart,10 Spades,8 Spades,6 Clubs,One pair
Ace Heart,4 Heart,5 Spades,Queen Clubs,5 Heart,One pair
2 Clubs,Ace Clubs,6 Diamonds,5 Heart,4 Diamonds,Nothing in hand
9 Clubs,6 Spades,Queen Diamonds,6 Heart,10 Clubs,One pair
10 Clubs,6 Spades,Ace Heart,8 Clubs,King Heart,Nothing in hand
6 Heart,6 Diamonds,8 Heart,5 Heart,Queen Clubs,One pair
10 Heart,6 Spades,Ace Spades,Queen Diamonds,3 Heart,Nothing in hand
2 Diamonds,Jack Heart,3 Diamonds,8 Clubs,10 Heart,Nothing in hand
Queen Spades,Jack Spades,6 Spades,Ace Diamonds,7 Diamonds,Nothing in hand
8 Spades,10 Diamonds,7 Clubs,Ace Clubs,Ace Diamonds,One pair
Ace Clubs,Ace Spades,5 Heart,4 Spades,Queen Heart,One pair
8 Clubs,Jack Diamonds,King Spades,5 Spades,4 Clubs,Nothing in hand
8 Diamonds,7 Clubs,9 Spades,King Diamonds,Ace Spades,Nothing in hand
2 Diamonds,Queen Diamonds,5 Diamonds,10 Clubs,3 Diamonds,Nothing in hand
9 Heart,Queen Diamonds,Ace Heart,8 Diamonds,King Diamonds,Nothing in hand
9 Spades,Ace Spades,7 Spades,3 Diamonds,2 Heart,Nothing in hand
4 Clubs,4 Spades,6 Spades,7 Clubs,Queen Heart,One pair
King Clubs,King Diamonds,Queen Clubs,King Spades,9 Clubs,Three of a kind
Ace Clubs,King Heart,7 Heart,7 Clubs,8 Clubs,One pair
Ace Spades,Queen Clubs,3 Diamonds,2 Spades,5 Heart,Nothing in hand
9 Diamonds,3 Diamonds,6 Clubs,2 Spades,8 Diamonds,Nothing in hand
Jack Diamonds,9 Clubs,8 Diamonds,9 Diamonds,2 Heart,One pair
8 Spades,Queen Clubs,10 Heart,9 Spades,6 Spades,Nothing in hand
Ace Diamonds,Queen Heart,2 Spades,10 Spades,5 Heart,Nothing in hand
Jack Heart,8 Heart,Jack Clubs,10 Heart,5 Spades,One pair
5 Clubs,5 Heart,9 Spades,8 Clubs,Queen Heart,One pair
5 Clubs,8 Heart,8 Spades,Jack Diamonds,2 Diamonds,One pair
6 Spades,9 Spades,Queen Clubs,7 Heart,3 Clubs,Nothing in hand
6 Spades,8 Heart,10 Heart,Queen Heart,2 Diamonds,Nothing in hand
Ace Spades,Jack Spades,4 Diamonds,Queen Heart,Ace Clubs,One pair
7 Diamonds,9 Heart,8 Heart,4 Heart,2 Spades,Nothing in hand
King Clubs,7 Spades,Jack Spades,Ace Spades,3 Clubs,Nothing in hand
6 Diamonds,10 Heart,5 Diamonds,5 Spades,2 Diamonds,One pair
2 Heart,Ace Diamonds,6 Spades,6 Heart,4 Heart,One pair
2 Clubs,Jack Clubs,10 Heart,4 Spades,10 Spades,One pair
5 Spades,9 Heart,Ace Clubs,8 Spades,7 Clubs,Nothing in hand
8 Clubs,Ace Clubs,Queen Spades,8 Heart,10 Diamonds,One pair
King Clubs,4 Heart,4 Diamonds,Jack Clubs,10 Heart,One pair
5 Spades,2 Heart,2 Diamonds,10 Spades,8 Clubs,One pair
5 Clubs,9 Clubs,2 Spades,7 Diamonds,Ace Clubs,Nothing in hand
Ace Diamonds,8 Clubs,6 Spades,Ace Clubs,Jack Spades,One pair
6 Clubs,6 Spades,King Clubs,4 Diamonds,Jack Clubs,One pair
7 Heart,7 Clubs,Ace Spades,4 Diamonds,King Diamonds,One pair
5 Heart,7 Heart,Queen Spades,3 Heart,6 Spades,Nothing in hand
3 Heart,Ace Spades,3 Clubs,Queen Diamonds,Queen Clubs,Two pairs
8 Heart,2 Spades,4 Spades,2 Clubs,2 Heart,Three of a kind
3 Diamonds,8 Heart,7 Spades,8 Diamonds,7 Diamonds,Two pairs
9 Spades,8 Clubs,7 Clubs,4 Clubs,2 Clubs,Nothing in hand
4 Heart,3 Spades,2 Clubs,2 Diamonds,Queen Diamonds,One pair
3 Heart,3 Clubs,Queen Clubs,King Spades,2 Spades,One pair
Jack Clubs,Queen Heart,3 Heart,9 Diamonds,5 Clubs,Nothing in hand
3 Diamonds,Queen Heart,8 Clubs,9 Spades,9 Clubs,One pair
King Diamonds,6 Diamonds,10 Spades,2 Heart,King Heart,One pair
Ace Clubs,6 Spades,6 Diamonds,5 Diamonds,4 Spades,One pair
8 Spades,2 Diamonds,4 Clubs,5 Spades,5 Diamonds,One pair
King Heart,7 Heart,Jack Clubs,Queen Diamonds,8 Clubs,Nothing in hand
9 Clubs,5 Diamonds,Jack Diamonds,Queen Diamonds,2 Clubs,Nothing in hand
Ace Spades,7 Spades,Queen Heart,10 Spades,2 Diamonds,Nothing in hand
9 Heart,10 Spades,7 Clubs,8 Heart,Ace Spades,Nothing in hand
Queen Clubs,6 Diamonds,2 Heart,4 Diamonds,5 Diamonds,Nothing in hand
6 Heart,9 Clubs,10 Heart,2 Clubs,7 Clubs,Nothing in hand
9 Heart,Jack Clubs,3 Heart,Ace Clubs,3 Clubs,One pair
Queen Heart,Queen Clubs,5 Spades,Ace Clubs,8 Spades,One pair
5 Clubs,Jack Spades,6 Diamonds,4 Clubs,10 Spades,Nothing in hand
4 Diamonds,King Clubs,Ace Diamonds,6 Heart,6 Diamonds,One pair
3 Diamonds,Queen Spades,8 Diamonds,Jack Clubs,10 Spades,Nothing in hand
Queen Spades,9 Heart,4 Spades,4 Heart,2 Heart,One pair
7 Spades,4 Spades,8 Clubs,Ace Diamonds,King Spades,Nothing in hand
King Heart,6 Clubs,9 Diamonds,4 Spades,4 Diamonds,One pair
King Spades,King Heart,6 Heart,King Diamonds,3 Heart,Three of a kind
8 Spades,3 Heart,Jack Diamonds,2 Clubs,6 Diamonds,Nothing in hand
Ace Clubs,2 Clubs,Queen Spades,4 Spades,6 Diamonds,Nothing in hand
Ace Diamonds,8 Spades,3 Spades,7 Diamonds,5 Diamonds,Nothing in hand
3 Heart,Queen Spades,5 Heart,2 Heart,7 Heart,Nothing in hand
9 Clubs,7 Diamonds,6 Diamonds,Jack Heart,5 Heart,Nothing in hand
4 Heart,10 Spades,Jack Diamonds,8 Diamonds,5 Diamonds,Nothing in hand
6 Diamonds,Ace Clubs,9 Clubs,Queen Diamonds,4 Diamonds,Nothing in hand
King Spades,2 Clubs,Jack Diamonds,9 Diamonds,8 Spades,Nothing in hand
10 Diamonds,7 Diamonds,King Spades,7 Spades,6 Diamonds,One pair
King Diamonds,6 Diamonds,8 Clubs,4 Diamonds,9 Diamonds,Nothing in hand
4 Clubs,King Spades,6 Heart,3 Heart,9 Spades,Nothing in hand
King Diamonds,10 Heart,Jack Spades,4 Diamonds,8 Diamonds,Nothing in hand
9 Heart,10 Clubs,3 Diamonds,8 Diamonds,4 Clubs,Nothing in hand
9 Spades,8 Heart,4 Heart,Queen Spades,5 Clubs,Nothing in hand
Queen Clubs,6 Diamonds,3 Heart,7 Spades,7 Heart,One pair
5 Spades,Jack Clubs,Queen Clubs,5 Diamonds,8 Spades,One pair
2 Spades,3 Heart,Queen Spades,Queen Heart,6 Heart,One pair
8 Clubs,9 Spades,2 Heart,2 Spades,10 Diamonds,One pair
4 Diamonds,4 Clubs,Queen Spades,Jack Heart,7 Spades,One pair
8 Spades,2 Spades,8 Clubs,Jack Clubs,Jack Diamonds,Two pairs
Ace Spades,King Spades,King Diamonds,4 Heart,5 Diamonds,One pair
5 Diamonds,4 Spades,8 Spades,8 Heart,10 Heart,One pair
4 Heart,King Heart,9 Clubs,2 Heart,2 Diamonds,One pair
6 Diamonds,6 Heart,3 Clubs,King Clubs,2 Diamonds,One pair
8 Spades,King Clubs,8 Clubs,2 Heart,King Spades,Two pairs
8 Heart,9 Spades,3 Diamonds,4 Heart,3 Heart,One pair
6 Diamonds,9 Clubs,King Clubs,5 Diamonds,9 Spades,One pair
7 Diamonds,6 Heart,2 Heart,7 Heart,Queen Clubs,One pair
8 Heart,3 Clubs,Queen Clubs,9 Diamonds,6 Diamonds,Nothing in hand
3 Diamonds,5 Diamonds,Ace Spades,Queen Spades,Jack Clubs,Nothing in hand
King Diamonds,Jack Spades,9 Heart,Jack Diamonds,King Clubs,Two pairs
6 Spades,9 Heart,8 Clubs,King Heart,4 Spades,Nothing in hand
7 Diamonds,6 Clubs,6 Diamonds,10 Spades,2 Diamonds,One pair
10 Diamonds,Queen Clubs,5 Clubs,7 Heart,Ace Diamonds,Nothing in hand
Ace Spades,4 Clubs,2 Heart,2 Clubs,9 Diamonds,One pair
Jack Clubs,King Heart,3 Diamonds,4 Heart,8 Heart,Nothing in hand
Jack Diamonds,6 Heart,4 Clubs,Ace Clubs,9 Clubs,Nothing in hand
7 Heart,6 Heart,10 Heart,King Diamonds,Queen Heart,Nothing in hand
Jack Clubs,King Diamonds,3 Heart,Jack Heart,8 Spades,One pair
7 Spades,3 Heart,9 Diamonds,8 Diamonds,7 Heart,One pair
2 Clubs,8 Clubs,3 Diamonds,9 Clubs,2 Heart,One pair
8 Diamonds,Jack Clubs,King Clubs,7 Heart,9 Clubs,Nothing in hand
6 Spades,8 Spades,King Spades,Queen Spades,Jack Diamonds,Nothing in hand
Queen Heart,5 Diamonds,6 Diamonds,Jack Spades,3 Heart,Nothing in hand
Queen Spades,2 Spades,2 Heart,Ace Clubs,7 Heart,One pair
6 Heart,Jack Heart,2 Heart,Ace Clubs,4 Heart,Nothing in hand
7 Heart,4 Diamonds,5 Clubs,King Clubs,9 Diamonds,Nothing in hand
3 Diamonds,5 Diamonds,7 Spades,King Clubs,King Spades,One pair
8 Spades,3 Clubs,10 Diamonds,Ace Diamonds,6 Diamonds,Nothing in hand
6 Clubs,King Heart,6 Spades,4 Clubs,King Spades,Two pairs
9 Heart,Ace Heart,9 Clubs,2 Heart,7 Spades,One pair
6 Clubs,Jack Heart,5 Diamonds,2 Spades,Ace Heart,Nothing in hand
King Clubs,9 Clubs,Ace Diamonds,8 Heart,King Diamonds,One pair
Queen Diamonds,8 Heart,3 Spades,Ace Spades,6 Diamonds,Nothing in hand
6 Spades,Ace Heart,2 Clubs,6 Heart,King Heart,One pair
2 Spades,4 Heart,4 Diamonds,4 Clubs,King Spades,Three of a kind
9 Clubs,Queen Heart,King Heart,10 Heart,10 Diamonds,One pair
8 Diamonds,10 Heart,Ace Diamonds,9 Spades,10 Diamonds,One pair
King Diamonds,King Heart,8 Spades,7 Clubs,7 Spades,Two pairs
4 Diamonds,10 Diamonds,Ace Heart,Jack Spades,Queen Clubs,Nothing in hand
King Diamonds,4 Spades,2 Heart,3 Clubs,8 Diamonds,Nothing in hand
9 Clubs,3 Heart,Jack Diamonds,Ace Heart,10 Spades,Nothing in hand
6 Heart,Ace Clubs,2 Clubs,Ace Spades,4 Diamonds,One pair
5 Heart,4 Diamonds,4 Heart,Ace Spades,6 Clubs,One pair
Jack Spades,9 Spades,7 Diamonds,8 Clubs,8 Diamonds,One pair
Jack Clubs,5 Diamonds,4 Spades,5 Spades,4 Clubs,Two pairs
King Clubs,Queen Diamonds,10 Clubs,Jack Heart,9 Spades,Straight
7 Clubs,7 Heart,5 Spades,8 Heart,6 Heart,One pair
Queen Diamonds,6 Clubs,King Heart,2 Heart,Ace Heart,Nothing in hand
2 Heart,3 Heart,King Spades,3 Diamonds,9 Diamonds,One pair
7 Diamonds,6 Clubs,10 Diamonds,Queen Clubs,2 Clubs,Nothing in hand
8 Spades,6 Diamonds,7 Clubs,King Spades,Jack Diamonds,Nothing in hand
8 Heart,9 Heart,King Clubs,10 Clubs,6 Clubs,Nothing in hand
8 Spades,5 Spades,8 Heart,7 Clubs,Ace Diamonds,One pair
6 Spades,6 Heart,8 Diamonds,King Diamonds,3 Clubs,One pair
Queen Clubs,5 Clubs,5 Heart,5 Spades,8 Spades,Three of a kind
10 Diamonds,3 Spades,4 Clubs,King Heart,10 Heart,One pair
Jack Spades,10 Heart,3 Diamonds,3 Spades,2 Clubs,One pair
3 Clubs,King Diamonds,10 Heart,King Clubs,9 Diamonds,One pair
4 Spades,Ace Clubs,4 Diamonds,King Clubs,Queen Heart,One pair
King Heart,2 Diamonds,Ace Diamonds,5 Diamonds,6 Spades,Nothing in hand
Ace Diamonds,6 Diamonds,Ace Heart,King Heart,10 Clubs,One pair
7 Heart,10 Heart,4 Spades,Ace Diamonds,Ace Clubs,One pair
4 Diamonds,8 Diamonds,2 Heart,Queen Spades,3 Spades,Nothing in hand
10 Clubs,5 Spades,9 Diamonds,3 Spades,Jack Heart,Nothing in hand
10 Spades,8 Heart,5 Clubs,9 Clubs,10 Clubs,One pair
Jack Clubs,2 Diamonds,2 Spades,7 Diamonds,Ace Spades,One pair
9 Diamonds,8 Diamonds,7 Heart,4 Heart,10 Spades,Nothing in hand
10 Diamonds,9 Heart,Jack Clubs,8 Spades,2 Clubs,Nothing in hand
8 Heart,Jack Diamonds,5 Heart,8 Spades,9 Clubs,One pair
4 Spades,2 Heart,5 Clubs,6 Clubs,7 Diamonds,Nothing in hand
King Clubs,5 Diamonds,Ace Diamonds,7 Spades,Queen Diamonds,Nothing in hand
5 Clubs,King Heart,3 Spades,Ace Spades,9 Diamonds,Nothing in hand
Ace Heart,3 Spades,6 Clubs,Queen Spades,8 Heart,Nothing in hand
Jack Clubs,10 Heart,Jack Spades,6 Spades,Ace Spades,One pair
Ace Heart,Ace Clubs,6 Clubs,10 Spades,9 Clubs,One pair
10 Spades,3 Spades,2 Spades,Ace Spades,2 Diamonds,One pair
2 Heart,8 Diamonds,Queen Heart,8 Spades,10 Spades,One pair
4 Spades,Ace Diamonds,10 Heart,2 Clubs,9 Spades,Nothing in hand
6 Spades,Queen Diamonds,10 Clubs,2 Heart,4 Clubs,Nothing in hand
4 Clubs,2 Diamonds,6 Spades,5 Heart,8 Spades,Nothing in hand
8 Heart,10 Spades,7 Heart,9 Clubs,5 Diamonds,Nothing in hand
5 Heart,8 Clubs,10 Spades,Ace Diamonds,5 Clubs,One pair
9 Clubs,2 Diamonds,Jack Heart,2 Heart,9 Heart,Two pairs
2 Spades,Jack Heart,King Diamonds,Ace Heart,5 Clubs,Nothing in hand
3 Spades,7 Heart,5 Diamonds,Jack Spades,10 Diamonds,Nothing in hand
10 Clubs,5 Diamonds,Queen Clubs,6 Clubs,5 Clubs,One pair
Queen Diamonds,Ace Heart,Jack Heart,Jack Diamonds,Ace Spades,Two pairs
9 Heart,10 Clubs,8 Heart,10 Diamonds,Queen Diamonds,One pair
2 Clubs,5 Spades,6 Heart,5 Clubs,Jack Heart,One pair
6 Diamonds,2 Clubs,7 Diamonds,6 Heart,5 Spades,One pair
5 Spades,9 Diamonds,10 Heart,King Diamonds,Queen Spades,Nothing in hand
Queen Spades,2 Diamonds,2 Spades,King Spades,3 Spades,One pair
3 Spades,King Spades,Jack Spades,4 Diamonds,9 Heart,Nothing in hand
2 Spades,3 Heart,4 Diamonds,2 Heart,7 Diamonds,One pair
Jack Diamonds,Ace Spades,Queen Spades,4 Heart,2 Spades,Nothing in hand
2 Spades,8 Spades,Ace Diamonds,4 Clubs,Queen Spades,Nothing in hand
4 Spades,4 Clubs,6 Clubs,5 Clubs,2 Spades,One pair
3 Clubs,5 Spades,7 Heart,5 Clubs,6 Spades,One pair
2 Heart,6 Spades,9 Spades,2 Diamonds,8 Spades,One pair
2 Clubs,6 Clubs,Jack Heart,5 Diamonds,3 Spades,Nothing in hand
Queen Spades,2 Clubs,8 Heart,Jack Diamonds,10 Clubs,Nothing in hand
Jack Heart,6 Heart,2 Heart,8 Diamonds,5 Spades,Nothing in hand
3 Clubs,Jack Spades,5 Heart,8 Diamonds,Jack Heart,One pair
9 Diamonds,3 Heart,10 Spades,3 Spades,6 Spades,One pair
Queen Clubs,King Heart,6 Heart,3 Clubs,5 Spades,Nothing in hand
Ace Clubs,10 Spades,Ace Spades,Queen Clubs,King Spades,One pair
9 Heart,Ace Clubs,10 Spades,9 Spades,Ace Heart,Two pairs
3 Spades,3 Diamonds,4 Clubs,7 Diamonds,5 Spades,One pair
5 Spades,King Clubs,3 Heart,8 Clubs,9 Diamonds,Nothing in hand
2 Spades,5 Spades,5 Diamonds,7 Spades,4 Heart,One pair
Jack Heart,Ace Clubs,6 Spades,King Clubs,4 Clubs,Nothing in hand
3 Diamonds,2 Clubs,8 Spades,4 Spades,7 Heart,Nothing in hand
3 Spades,King Clubs,6 Spades,Jack Spades,7 Diamonds,Nothing in hand
Jack Diamonds,4 Heart,2 Heart,Ace Clubs,8 Clubs,Nothing in hand
5 Heart,10 Diamonds,2 Diamonds,Jack Clubs,7 Diamonds,Nothing in hand
5 Clubs,7 Spades,4 Heart,Jack Spades,8 Heart,Nothing in hand
10 Diamonds,4 Diamonds,King Diamonds,7 Diamonds,7 Spades,One pair
4 Diamonds,6 Diamonds,3 Diamonds,King Clubs,4 Heart,One pair
3 Diamonds,Jack Heart,9 Diamonds,4 Diamonds,King Clubs,Nothing in hand
Ace Heart,2 Spades,Jack Heart,7 Clubs,King Spades,Nothing in hand
Jack Clubs,6 Spades,3 Heart,7 Diamonds,8 Diamonds,Nothing in hand
Queen Clubs,Jack Spades,5 Clubs,2 Diamonds,King Heart,Nothing in hand
4 Heart,8 Heart,Ace Heart,2 Spades,7 Spades,Nothing in hand
8 Clubs,5 Diamonds,3 Clubs,7 Heart,2 Heart,Nothing in hand
10 Diamonds,Jack Diamonds,3 Spades,10 Clubs,7 Clubs,One pair
6 Clubs,Queen Heart,5 Spades,5 Heart,5 Clubs,Three of a kind
King Diamonds,8 Clubs,8 Diamonds,Ace Heart,5 Spades,One pair
7 Clubs,10 Diamonds,Ace Spades,8 Heart,King Heart,Nothing in hand
2 Diamonds,Ace Heart,Queen Clubs,10 Spades,6 Clubs,Nothing in hand
Jack Diamonds,10 Heart,8 Heart,10 Spades,Ace Diamonds,One pair
9 Spades,King Heart,9 Heart,Ace Clubs,Queen Diamonds,One pair
10 Spades,8 Clubs,King Spades,Queen Spades,4 Spades,Nothing in hand
